Allen Iverson,25.0,3.8,4.7,3.4,0.4,3.8,.366,.678,32.8,2.4,.578,,5.1,3.5,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.5,22.0,<strong>26.8</strong>,28.4,<strong>31.1</strong>,<strong>31.4</strong>,27.6,26.4,<strong>30.7</strong>,33.0,26.3,26.4,17.5,13.8,,4.1,3.7,4.9,3.8,3.8,4.5,4.2,3.7,4.0,3.2,3.0,3.0,3.0,2.8,,7.5,6.2,4.6,4.7,4.6,5.5,5.5,6.8,7.9,7.4,7.2,7.1,5.0,4.0,,2.1,2.2,2.3,2.1,<strong>2.5</strong>,<strong>2.8</strong>,<strong>2.7</strong>,2.4,2.4,1.9,1.9,2.0,1.5,0.7,,0.3,0.3,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,,4.4,3.1,3.5,3.3,3.3,4.0,3.5,4.4,4.6,3.4,4.1,3.0,2.6,2.3,,0.341,0.298,0.291,0.341,0.32,0.291,0.277,0.286,0.308,0.323,0.315,0.345,0.283,0.36,,0.702,0.729,0.751,0.713,0.814,0.812,0.774,0.745,0.835,0.814,0.795,0.809,0.781,0.794,,0.416,0.461,0.412,0.421,0.42,0.398,0.414,0.387,0.424,0.447,0.442,0.458,0.417,0.43,,0.513,0.535,0.508,0.496,0.518,0.489,0.5,0.478,0.532,0.543,0.54,0.529,0.545,0.567,,1.5,3.8,4.6,2.6,4.8,3.8,2.8,2.5,4.3,3.5,0.8,2.0,0.4,1.6,,4.1,9.0,7.2,6.9,11.8,6.9,9.2,2.8,9.0,10.6,6.2,1.6,4.6,11.6,,0.065,0.138,0.173,0.116,0.19,0.126,0.127,0.066,0.136,0.165,0.108,0.119,0.105,0.163,,2.7,4.6,3.3,3.3,5.1,3.9,4.2,2.3,5.0,4.3,1.9,0.6,1.3,3.1,
Marcus Camby,20.5,8.2,1.8,1.0,3.9,2.5,.000,.700,30.6,2.6,.521,,2.2,5.9,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.8,12.1,7.2,10.2,12.0,11.1,7.6,8.6,10.3,12.8,11.2,9.1,10.3,7.5,4.7,4.9,1.8,,6.3,7.4,5.5,7.8,11.5,11.1,7.2,10.1,10.0,11.9,11.7,13.1,11.1,11.8,10.3,9.0,3.3,,1.5,1.8,0.3,0.8,0.8,1.1,1.6,1.8,2.3,2.1,3.2,3.3,2.0,2.5,2.1,1.8,0.6,,1.0,1.1,0.6,0.7,1.0,1.2,0.7,1.2,0.9,1.4,1.2,1.1,0.8,1.3,0.7,0.8,0.3,,2.1,<strong>3.7</strong>,1.6,2.0,2.2,1.7,1.4,2.6,3.0,<strong>3.3</strong>,<strong>3.3</strong>,<strong>3.6</strong>,2.1,2.0,1.6,1.4,0.6,,2.1,2.1,0.8,1.2,1.0,1.4,0.9,1.4,1.6,1.6,1.7,1.5,1.5,1.2,1.1,1.0,0.6,,0.143,0.0,,0.5,0.125,0.0,0.4,0.0,0.0,0.091,0.0,0.3,0.25,0.286,0.0,0.4,,,0.693,0.611,0.553,0.67,0.667,0.626,0.66,0.721,0.723,0.712,0.729,0.708,0.725,0.639,0.614,0.453,0.421,,0.482,0.412,0.521,0.48,0.524,0.448,0.41,0.477,0.465,0.465,0.473,0.45,0.512,0.475,0.398,0.446,0.321,,0.523,0.448,0.537,0.529,0.559,0.483,0.444,0.511,0.505,0.499,0.519,0.498,0.556,0.501,0.497,0.511,0.426,,-0.3,-0.7,1.5,3.0,4.2,0.1,2.0,4.1,3.4,3.8,5.3,4.8,1.8,4.5,4.6,4.5,2.3,,3.7,0.9,3.5,5.9,10.3,2.1,1.5,6.9,5.8,5.5,7.6,8.5,5.2,6.8,4.6,2.3,3.7,,0.095,0.022,0.176,0.182,0.233,0.102,0.119,0.154,0.138,0.141,0.155,0.148,0.129,0.142,0.137,0.152,0.116,,0.8,0.7,0.8,2.0,3.3,0.5,0.6,3.3,2.8,2.7,4.4,4.7,1.8,3.8,2.7,1.2,1.7,
Shareef Abdur-Rahim,21.1,8.4,1.0,1.9,1.3,3.1,.381,.683,34.7,2.1,.571,,3.1,2.3,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.7,22.3,23.0,20.3,20.5,21.2,19.9,16.3,16.8,12.3,9.9,1.7,,6.9,7.1,7.5,10.1,9.1,9.0,8.4,7.5,7.3,5.0,5.0,1.7,,2.2,2.6,3.4,3.3,3.1,3.1,3.0,2.0,2.1,2.1,1.4,0.7,,1.0,1.1,1.4,1.1,1.1,1.3,1.1,0.8,0.9,0.7,0.7,0.2,,1.0,0.9,1.1,1.1,1.0,1.1,0.5,0.4,0.5,0.6,0.5,0.0,,2.8,3.1,3.7,3.0,2.9,3.2,2.6,2.2,2.2,1.5,1.5,0.2,,0.259,0.412,0.306,0.302,0.188,0.3,0.35,0.265,0.385,0.227,0.15,,,0.746,0.784,0.841,0.809,0.834,0.801,0.841,0.869,0.866,0.784,0.726,1.0,,0.453,0.485,0.432,0.465,0.472,0.461,0.478,0.475,0.503,0.525,0.474,0.214,,0.518,0.562,0.53,0.547,0.549,0.536,0.566,0.557,0.568,0.522,0.581,0.588,,-2.0,1.2,1.6,2.3,2.2,2.0,1.7,0.3,1.0,-1.4,0.8,0.9,,2.9,6.9,4.6,8.8,8.5,7.2,9.7,8.1,6.6,1.5,5.4,6.2,,0.049,0.113,0.108,0.132,0.126,0.116,0.151,0.145,0.163,0.098,0.139,0.152,,0.0,2.3,1.8,3.5,3.5,3.0,2.8,1.6,1.5,0.1,1.3,1.4,
Stephon Marbury,18.9,3.1,4.5,1.8,0.1,3.2,.370,.738,37.4,2.3,.574,,3.5,0.8,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.8,17.7,21.3,22.2,23.9,20.4,22.3,20.2,21.7,16.3,16.4,13.9,3.8,,2.7,2.8,2.9,3.2,3.1,3.2,3.2,3.2,3.0,2.9,2.9,2.5,1.2,,7.8,8.6,8.9,8.4,7.6,8.1,8.1,8.9,8.1,6.4,5.4,4.7,3.3,,1.0,1.3,1.2,1.5,1.2,0.9,1.3,1.6,1.5,1.1,1.0,0.9,0.4,,0.3,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,3.1,3.1,3.3,3.6,2.9,3.5,3.2,3.1,2.8,2.6,2.4,2.0,1.6,,0.354,0.313,0.335,0.283,0.328,0.286,0.301,0.318,0.354,0.317,0.357,0.378,0.24,,0.727,0.731,0.799,0.813,0.79,0.781,0.803,0.817,0.834,0.755,0.769,0.716,0.462,,0.408,0.415,0.428,0.432,0.441,0.442,0.439,0.431,0.462,0.451,0.415,0.419,0.342,,0.519,0.505,0.519,0.466,0.547,0.528,0.54,0.519,0.52,0.519,0.515,0.523,0.575,,-1.0,-0.6,1.8,1.0,2.2,1.8,3.7,0.8,2.4,2.2,1.5,2.7,3.4,,3.7,5.3,5.3,1.3,4.0,7.4,7.8,7.1,9.6,9.1,3.5,5.5,11.7,,0.077,0.082,0.134,0.097,0.155,0.123,0.147,0.107,0.142,0.134,0.12,0.144,0.171,,0.6,1.1,1.8,0.5,1.3,2.8,3.7,2.2,3.6,3.4,1.2,2.2,4.4,
Ray Allen,23.4,6.5,3.3,1.7,0.5,2.3,.466,.810,31.4,1.3,.595,,5.0,3.3,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.58,N/A,N/A,N/A,13.4,19.5,17.1,22.1,22.0,21.8,22.5,23.0,23.9,25.1,26.4,17.4,18.2,16.3,16.5,14.2,10.9,9.6,,4.0,4.9,4.2,4.4,5.2,4.5,5.0,5.1,4.4,4.3,4.5,3.7,3.5,3.2,3.4,3.1,2.7,2.8,,2.6,4.3,3.6,3.8,4.6,3.9,4.4,4.8,3.7,3.7,4.1,3.1,2.8,2.6,2.7,2.4,1.7,2.0,,0.9,1.4,1.1,1.3,1.5,1.3,1.4,1.3,1.1,1.3,1.5,0.9,0.9,0.8,1.0,1.1,0.8,0.7,,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,,1.8,3.2,2.4,2.2,2.5,2.3,2.6,2.8,2.2,2.4,2.8,1.7,1.7,1.6,1.5,1.5,1.3,1.2,,0.393,0.364,0.356,0.423,0.433,0.434,0.377,0.392,0.376,0.412,0.372,0.398,0.409,0.363,0.444,0.453,0.419,0.375,,0.823,0.875,0.903,0.887,0.888,0.873,0.916,0.904,0.883,0.903,0.903,0.907,0.952,0.913,0.881,0.915,0.886,0.905,,0.43,0.428,0.45,0.455,0.48,0.462,0.439,0.44,0.428,0.454,0.438,0.445,0.48,0.477,0.491,0.458,0.449,0.442,,0.541,0.539,0.564,0.57,0.61,0.598,0.565,0.564,0.567,0.566,0.555,0.59,0.564,0.584,0.624,0.601,0.615,0.607,,0.3,1.8,2.9,3.0,5.6,4.3,3.7,1.9,6.4,4.0,3.7,3.6,3.4,3.1,3.9,1.7,3.6,2.6,,4.9,7.0,5.2,10.1,13.7,8.9,9.1,4.3,4.8,6.9,10.7,9.5,6.3,9.7,11.1,7.9,10.0,4.7,,0.092,0.102,0.146,0.157,0.211,0.169,0.152,0.123,0.193,0.153,0.168,0.15,0.136,0.177,0.186,0.135,0.166,0.145,,1.5,3.2,2.1,3.9,6.0,4.0,4.2,1.6,2.5,3.3,4.4,4.2,3.0,3.4,4.3,2.6,4.1,1.8,
Antoine Walker,15.2,8.4,2.9,1.7,0.7,2.5,.188,.631,27.0,2.4,.494,,0.9,3.8,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.5,22.4,18.7,20.5,23.4,22.1,20.1,14.0,19.1,12.2,8.5,8.0,,9.0,10.2,8.5,8.0,8.9,8.8,7.2,8.3,9.0,5.1,4.3,3.7,,3.2,3.3,3.1,3.7,5.5,5.0,4.8,4.5,3.4,2.0,1.7,1.0,,1.3,1.7,1.5,1.4,1.7,1.5,1.5,0.8,1.2,0.6,0.6,0.7,,0.6,0.7,0.7,0.4,0.6,0.5,0.4,0.8,0.8,0.4,0.2,0.2,,2.8,3.6,2.8,3.2,3.7,3.1,3.3,2.5,3.3,1.8,1.8,1.0,,0.327,0.312,0.369,0.256,0.367,0.344,0.323,0.269,0.323,0.358,0.275,0.324,,0.631,0.645,0.559,0.699,0.716,0.741,0.615,0.554,0.539,0.628,0.438,0.53,,0.425,0.423,0.412,0.43,0.413,0.394,0.388,0.428,0.422,0.435,0.397,0.363,,0.474,0.481,0.476,0.494,0.505,0.49,0.467,0.475,0.478,0.474,0.49,0.524,,-1.0,0.7,1.0,1.2,3.9,3.0,0.3,1.7,-0.4,-0.7,0.1,0.0,,1.7,4.7,2.6,5.0,6.6,6.7,2.6,3.9,0.9,0.2,0.7,3.6,,0.027,0.07,0.079,0.08,0.093,0.094,0.039,0.066,0.015,0.004,0.041,0.08,,0.8,2.2,1.2,2.4,5.0,4.3,1.9,2.6,1.2,0.7,0.4,1.1,
Lorenzen Wright,17.4,10.4,1.2,1.3,2.0,1.9,.000,.645,35.3,2.6,.566,,2.7,3.7,2,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.3,9.0,6.6,6.0,12.4,12.0,11.4,9.4,9.6,5.8,2.6,0.8,1.4,,6.1,8.8,7.5,4.1,7.5,9.4,7.5,6.8,7.7,5.1,3.2,2.1,1.5,,0.6,0.8,0.7,0.3,1.2,1.0,1.1,1.1,1.1,0.6,0.6,0.2,0.2,,0.6,0.8,0.5,0.4,0.6,0.7,0.7,0.7,0.7,0.7,0.4,0.2,0.2,,0.8,1.3,0.8,0.5,0.9,0.5,0.8,0.9,0.9,0.6,0.4,0.2,0.3,,1.0,1.2,1.0,0.9,1.8,1.7,1.6,1.2,1.3,0.9,0.6,0.2,0.5,,0.25,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.587,0.659,0.692,0.644,0.718,0.569,0.659,0.733,0.662,0.564,0.281,0.5,0.375,,0.481,0.445,0.458,0.499,0.448,0.459,0.454,0.439,0.469,0.478,0.448,0.286,0.37,,0.504,0.49,0.512,0.533,0.486,0.478,0.489,0.474,0.501,0.496,0.439,0.317,0.331,,-1.5,-2.4,-1.3,-3.2,-1.7,-3.8,-2.4,-1.3,-0.6,-1.3,-3.0,-6.9,-6.1,,3.2,3.1,2.2,2.2,3.2,1.4,2.5,3.2,5.2,3.7,0.7,0.0,0.1,,0.079,0.071,0.093,0.088,0.077,0.055,0.061,0.092,0.108,0.106,0.033,0.001,0.028,,0.2,-0.2,0.2,-0.4,0.1,-0.6,-0.2,0.3,0.8,0.3,-0.2,-0.2,-0.2,
Kerry Kittles,20.4,7.1,3.5,2.4,0.4,1.8,.404,.710,35.3,1.5,.564,,3.2,2.4,4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.4,17.2,12.9,13.0,13.4,13.0,13.1,6.3,,3.9,4.7,4.2,3.6,3.4,3.9,4.0,2.9,,3.0,2.3,2.5,2.3,2.6,2.6,2.5,1.8,,1.9,1.7,1.7,1.3,1.6,1.6,1.5,0.7,,0.4,0.5,0.6,0.3,0.4,0.5,0.5,0.3,,1.5,1.4,1.4,0.9,1.3,0.8,1.2,0.6,,0.377,0.418,0.316,0.4,0.405,0.356,0.351,0.333,,0.771,0.808,0.772,0.795,0.744,0.785,0.787,0.6,,0.426,0.44,0.37,0.437,0.466,0.467,0.453,0.384,,0.523,0.525,0.446,0.535,0.542,0.55,0.526,0.446,,2.0,2.9,-0.3,1.3,2.1,3.9,1.5,-2.9,,6.9,8.4,1.8,4.7,7.7,7.7,7.6,0.2,,0.11,0.144,0.054,0.119,0.141,0.188,0.128,0.04,,3.1,3.5,0.7,1.6,2.7,2.9,2.5,-0.1,
Samaki Walker,15.1,7.5,1.1,0.8,2.0,2.3,.000,.614,30.2,2.5,.609,,2.1,1.1,2,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,8.9,5.9,5.1,5.3,6.7,4.4,3.2,1.7,0.3,,3.4,7.4,3.7,3.8,4.0,7.0,5.5,3.4,1.3,0.4,,0.4,0.6,0.2,0.5,0.5,0.9,1.0,0.2,0.3,0.0,,0.3,0.7,0.2,0.1,0.2,0.4,0.3,0.3,0.2,0.0,,0.5,1.0,0.4,0.5,0.7,1.3,0.8,0.3,0.5,0.1,,0.9,1.5,0.9,0.9,1.1,0.8,0.8,0.5,0.6,0.3,,0.0,0.0,0.0,,0.333,,0.0,0.0,,,,0.649,0.546,0.541,0.683,0.629,0.667,0.653,0.659,0.667,1.0,,0.444,0.486,0.463,0.449,0.48,0.512,0.42,0.384,0.355,0.0,,0.487,0.502,0.491,0.499,0.524,0.545,0.465,0.444,0.371,0.347,,-5.4,-3.9,-7.2,-3.2,-2.6,0.6,-2.6,-5.3,-6.6,-12.3,,0.5,1.4,0.6,2.0,1.9,5.3,2.1,0.7,-0.1,0.0,,0.037,0.067,0.047,0.098,0.093,0.153,0.079,0.08,-0.047,-0.091,,-0.5,-0.5,-0.7,-0.3,-0.2,1.1,-0.2,-0.3,-0.2,-0.1,
Erick Dampier,14.5,9.3,2.3,0.5,3.1,2.7,,.612,32.7,2.5,.568,,2.7,2.9,3,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.1,11.8,8.8,8.0,7.4,7.6,8.2,12.3,9.2,5.7,7.1,6.1,5.7,6.0,2.5,0.1,,4.1,8.7,7.6,6.4,5.8,5.3,6.6,12.0,8.5,7.8,7.4,7.5,7.1,7.3,3.5,1.7,,0.6,1.1,1.1,0.9,1.4,1.2,0.7,0.8,0.9,0.6,0.6,0.9,1.0,0.6,0.4,0.3,,0.3,0.5,0.5,0.4,0.4,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,,1.0,1.7,1.2,0.7,1.3,2.3,1.9,1.9,1.4,1.3,1.1,1.5,1.2,1.4,0.9,0.3,,1.2,2.1,1.8,1.4,1.9,2.1,1.4,1.8,1.7,1.4,1.4,1.1,0.9,1.1,0.6,0.2,,1.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.333,0.0,,,0.637,0.669,0.588,0.529,0.532,0.645,0.698,0.654,0.605,0.591,0.623,0.575,0.638,0.604,0.545,,,0.39,0.445,0.389,0.405,0.401,0.435,0.496,0.535,0.55,0.493,0.626,0.643,0.65,0.624,0.584,0.125,,0.451,0.502,0.439,0.427,0.432,0.484,0.543,0.573,0.58,0.531,0.642,0.645,0.664,0.637,0.591,0.125,,-3.0,-1.1,-1.5,-6.1,-4.2,-1.9,0.1,1.4,0.8,1.0,2.0,3.4,2.9,0.7,0.3,-2.8,,0.9,4.0,1.5,-0.1,-0.5,0.3,4.1,8.9,4.5,4.8,6.4,6.0,6.1,3.7,1.9,0.1,,0.04,0.072,0.051,-0.006,-0.021,0.009,0.099,0.178,0.135,0.119,0.16,0.165,0.161,0.14,0.109,0.035,,-0.3,0.6,0.2,-0.5,-0.6,0.0,1.1,2.1,1.1,1.4,1.9,2.4,2.3,0.9,0.5,0.0,
